mask,image
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/010783_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/010783_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/012449_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/012449_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/013649_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/013649_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/015314_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/015314_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/017933_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/017933_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/020764_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/020764_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/021541_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/021541_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/022141_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/022141_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/024541_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/024541_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/024703_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/024703_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/024763_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/024763_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/0/024793_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/0/024793_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/005849_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/005849_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/068726_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/068726_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/076063_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/076063_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/082808_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/082808_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/092468_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/092468_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/102630_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/102630_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/131886_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/131886_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/148425_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/148425_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/155757_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/155757_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/161092_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/161092_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/167388_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/167388_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/197511_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/197511_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/200966_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/200966_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/210316_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/210316_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/211302_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/211302_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/212186_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/212186_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/213174_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/213174_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/224838_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/224838_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/253330_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/253330_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/261261_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/261261_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/280794_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/280794_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/325435_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/325435_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/328884_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/328884_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/339671_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/339671_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/340676_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/340676_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/350877_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/350877_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/351875_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/351875_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/391165_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/391165_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/431140_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/431140_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/456787_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/456787_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/465708_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/465708_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/466704_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/466704_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/469167_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/469167_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/471166_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/471166_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/472046_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/472046_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/502201_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/502201_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/522533_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/522533_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/549990_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/549990_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/556215_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/556215_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/560650_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/560650_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/567828_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/567828_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/601536_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/601536_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/609870_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/609870_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/615613_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/615613_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/621971_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/621971_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/628294_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/628294_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/653898_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/653898_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/662706_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/662706_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/680362_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/680362_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/700203_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/700203_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/725984_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/725984_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/741238_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/741238_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/744114_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/744114_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/745121_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/745121_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/747982_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/747982_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/785265_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/785265_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/791607_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/791607_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/798063_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/798063_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/812731_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/812731_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/820938_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/820938_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/856355_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/856355_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/861818_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/861818_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/897334_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/897334_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/921976_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/921976_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/936354_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/936354_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/940227_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/940227_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/963083_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/963083_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/1/990596_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/1/990596_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/10/070890_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/10/070890_leftImg8bit.png
/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/gtFine/train/10/086289_gtFine_road_labels.png,/home/somusan/OpencvUni/opencvblog/robotics-series/yolop_idd/idd-segmentation/IDD_Segmentation/leftImg8bit/train/10/086289_leftImg8bit.png
